sn,id,sid,mcq1,cq1,mcq2,cq2,mcq,cq,pra,ca,tot,gp,lg,result,gpa,grade
73,7,English,,21,,53,,37,,,37,1,D,,,
74,8,English,,22,,56,,39,,,39,1,D,,,
75,9,English,,20,,43,,31.5,,,31.5,0,F,,,
76,10,English,,17,,50,,33.5,,,33.5,1,D,,,
77,11,English,,20,,48,,34,,,34,1,D,,,
78,12,English,,18,,52,,35,,,35,1,D,,,
79,13,English,,21,,59,,40,,,40,2,C,,,
80,14,English,,22,,52,,37,,,37,1,D,,,
81,15,English,,22,,51,,36.5,,,36.5,1,D,,,
82,16,English,,23,,42,,32.5,,,32.5,0,F,,,
83,17,English,,21,,57,,39,,,39,1,D,,,
84,18,English,,21,,49,,35,,,35,1,D,,,
85,19,English,,18,,49,,33.5,,,33.5,1,D,,,
86,20,English,,20,,43,,31.5,,,31.5,0,F,,,
87,21,English,,22,,56,,39,,,39,1,D,,,
88,22,English,,21,,50,,35.5,,,35.5,1,D,,,
89,23,English,,22,,52,,37,,,37,1,D,,,
90,24,English,,59,,59,,,,,59,3,B,,,
91,25,English,,59,,59,,,,,59,3,B,,,
92,26,English,,59,,59,,,,,59,3,B,,,
93,27,English,,59,,59,,,,,59,3,B,,,
94,28,English,,59,,59,,,,,59,3,B,,,
95,29,English,,59,,59,,,,,59,3,B,,,
96,30,English,,59,,59,,,,,59,3,B,,,
97,31,English,,59,,59,,,,,59,3,B,,,
98,32,English,,59,,59,,,,,59,3,B,,,
99,33,English,,59,,59,,,,,59,3,B,,,
100,34,English,,59,,59,,,,,59,3,B,,,
101,35,English,,59,,59,,,,,59,3,B,,,
102,36,English,,59,,59,,,,,59,3,B,,,
103,37,English,,59,,59,,,,,59,3,B,,,
104,38,English,,59,,59,,,,,59,3,B,,,
105,39,English,,59,,59,,,,,59,3,B,,,
106,40,English,,59,,59,,,,,59,3,B,,,
107,41,English,,59,,59,,,,,59,3,B,,,
108,42,English,,59,,59,,,,,59,3,B,,,
109,43,English,,59,,59,,,,,59,3,B,,,
110,44,English,,59,,59,,,,,59,3,B,,,
111,45,English,,59,,59,,,,,59,3,B,,,
112,46,English,,59,,59,,,,,59,3,B,,,
113,47,English,,59,,59,,,,,59,3,B,,,
114,48,English,,59,,59,,,,,59,3,B,,,
115,49,English,,59,,59,,,,,59,3,B,,,
116,50,English,,59,,59,,,,,59,3,B,,,
117,51,English,,59,,59,,,,,59,3,B,,,
118,52,English,,59,,59,,,,,59,3,B,,,
119,53,English,,59,,59,,,,,59,3,B,,,
120,54,English,,59,,59,,,,,59,3,B,,,
121,55,English,,59,,59,,,,,59,3,B,,,
122,56,English,,59,,59,,,,,59,3,B,,,
123,57,English,,59,,59,,,,,59,3,B,,,
124,58,English,,59,,59,,,,,59,3,B,,,
125,59,English,,59,,59,,,,,59,3,B,,,
126,60,English,,59,,59,,,,,59,3,B,,,
127,61,English,,59,,59,,,,,59,3,B,,,
128,62,English,,59,,59,,,,,59,3,B,,,
129,63,English,,59,,59,,,,,59,3,B,,,
130,64,English,,59,,59,,,,,59,3,B,,,
131,65,English,,59,,59,,,,,59,3,B,,,
132,66,English,,59,,59,,,,,59,3,B,,,
133,1,Math,,,,,18,27,,,45,5,A+,,,
134,2,Math,,,,,16,29,,,45,5,A+,,,
135,3,Math,,,,,10,26,,,36,4,A,,,
136,4,Math,,,,,14,24,,,38,4,A,,,
137,5,Math,,,,,16,17,,,33,3.5,A-,,,
138,6,Math,,,,,,,,,0,0,F,,,
139,7,Math,,,,,13,25,,,38,4,A,,,
140,8,Math,,,,,12,30,,,42,5,A+,,,
141,9,Math,,,,,14,26,,,40,5,A+,,,
142,10,Math,,,,,15,29,,,44,5,A+,,,
143,11,Math,,,,,10,27,,,37,4,A,,,
144,12,Math,,,,,18,27,,,45,5,A+,,,
145,13,Math,,,,,18,30,,,48,5,A+,,,
146,14,Math,,,,,17,30,,,47,5,A+,,,
147,15,Math,,,,,15,25,,,40,5,A+,,,
148,16,Math,,,,,14,26,,,40,5,A+,,,
149,17,Math,,,,,15,30,,,45,5,A+,,,
150,18,Math,,,,,16,30,,,46,5,A+,,,
151,19,Math,,,,,17,26,,,43,5,A+,,,
152,20,Math,,,,,15,26,,,41,5,A+,,,
153,21,Math,,,,,16,26,,,42,5,A+,,,
154,22,Math,,,,,16,30,,,46,5,A+,,,
155,23,Math,,,,,16,30,,,46,5,A+,,,
156,24,Math,,,,,10,22,,,32,3.5,A-,,,
157,25,Math,,,,,15,20,,,35,4,A,,,
158,26,Math,,,,,11,20,,,31,3.5,A-,,,
159,27,Math,,,,,10,21,,,31,3.5,A-,,,
160,28,Math,,,,,11,16,,,27,3,B,,,
161,29,Math,,,,,13,27,,,40,5,A+,,,
162,30,Math,,,,,12,13,,,25,3,B,,,
163,31,Math,,,,,8,15,,,23,2,C,,,
164,32,Math,,,,,11,20,,,31,3.5,A-,,,
165,33,Math,,,,,16,20,,,36,4,A,,,
166,34,Math,,,,,9,20,,,29,3,B,,,
167,35,Math,,,,,11,18,,,29,3,B,,,
168,36,Math,,,,,10,12,,,22,2,C,,,
169,37,Math,,,,,8,17,,,25,3,B,,,
170,38,Math,,,,,11,21,,,32,3.5,A-,,,
171,39,Math,,,,,14,30,,,44,5,A+,,,
172,40,Math,,,,,9,20,,,29,3,B,,,
173,41,Math,,,,,8,21,,,29,3,B,,,
174,42,Math,,,,,8,14,,,22,2,C,,,
175,43,Math,,,,,10,18,,,28,3,B,,,
176,44,Math,,,,,9,5,,,14,0,F,,,
177,45,Math,,,,,9,11,,,20,2,C,,,
178,46,Math,,,,,6,18,,,24,2,C,,,
179,47,Math,,,,,13,25,,,38,4,A,,,
180,48,Math,,,,,10,16,,,26,3,B,,,
181,49,Math,,,,,11,18,,,29,3,B,,,
182,50,Math,,,,,10,13,,,23,2,C,,,
183,51,Math,,,,,8,19,,,27,3,B,,,
184,52,Math,,,,,8,12,,,20,2,C,,,
185,53,Math,,,,,8,14,,,22,2,C,,,
186,54,Math,,,,,13,14,,,27,3,B,,,
187,55,Math,,,,,12,12,,,24,2,C,,,
188,56,Math,,,,,10,17,,,27,3,B,,,
189,57,Math,,,,,,,,,,,,,,
190,58,Math,,,,,9,18,,,27,3,B,,,
191,59,Math,,,,,,,,,0,0,F,,,
192,60,Math,,,,,6,10,,,16,0,F,,,
193,61,Math,,,,,10,16,,,26,3,B,,,
194,62,Math,,,,,10,16,,,26,3,B,,,
195,63,Math,,,,,11,17,,,28,3,B,,,
196,64,Math,,,,,8,9,,,17,0,F,,,
197,65,Math,,,,,12,17,,,29,3,B,,,
198,66,Math,,,,,10,16,,,26,3,B,,,
199,1,S.Science,,,,,26,49,,,75,4,A,,,
200,2,S.Science,,,,,24,49,,,73,4,A,,,
201,3,S.Science,,,,,22,43,,,65,3.5,A-,,,
202,4,S.Science,,,,,22,45,,,67,3.5,A-,,,
203,5,S.Science,,,,,21,44,,,65,3.5,A-,,,
204,6,S.Science,,,,,21,39,,,60,3.5,A-,,,
205,7,S.Science,,,,,23,48,,,71,4,A,,,
206,8,S.Science,,,,,22,48,,,70,4,A,,,
207,9,S.Science,,,,,19,47,,,66,3.5,A-,,,
208,10,S.Science,,,,,21,47,,,68,3.5,A-,,,
209,11,S.Science,,,,,20,48,,,68,3.5,A-,,,
210,12,S.Science,,,,,20,40,,,60,3.5,A-,,,
211,13,S.Science,,,,,19,48,,,67,3.5,A-,,,
212,14,S.Science,,,,,24,38,,,62,3.5,A-,,,
213,15,S.Science,,,,,21,47,,,68,3.5,A-,,,
214,16,S.Science,,,,,18,46,,,64,3.5,A-,,,
215,17,S.Science,,,,,16,48,,,64,3.5,A-,,,
216,18,S.Science,,,,,19,46,,,65,3.5,A-,,,
217,19,S.Science,,,,,21,46,,,67,3.5,A-,,,
218,20,S.Science,,,,,21,44,,,65,3.5,A-,,,
219,21,S.Science,,,,,16,47,,,63,3.5,A-,,,
220,22,S.Science,,,,,20,40,,,60,3.5,A-,,,
221,23,S.Science,,,,,14,42,,,56,3,B,,,
222,24,Science,,,,,23,53,,,76,4,A,,,
223,25,Science,,,,,25,45,,,70,4,A,,,
224,26,Science,,,,,20,52,,,72,4,A,,,
225,27,Science,,,,,18,48,,,66,3.5,A-,,,
226,28,Science,,,,,10,50,,,60,3.5,A-,,,
227,29,Science,,,,,15,43,,,58,3,B,,,
228,30,Science,,,,,13,26,,,39,1,D,,,
229,31,Science,,,,,19,38,,,57,3,B,,,
230,32,Science,,,,,19,40,,,59,3,B,,,
231,33,Science,,,,,19,50,,,69,3.5,A-,,,
232,34,Science,,,,,16,31,,,47,2,C,,,
233,35,Science,,,,,20,36,,,56,3,B,,,
234,36,Science,,,,,,,,,,,,,,
235,37,Science,,,,,,,,,0,0,F,,,
236,38,Science,,,,,15,18,,,33,0,F,,,
237,39,Science,,,,,17,33,,,50,3,B,,,
238,40,Science,,,,,16,27,,,43,2,C,,,
239,41,Science,,,,,16,38,,,54,3,B,,,
240,42,Science,,,,,16,48,,,64,3.5,A-,,,
241,43,Science,,,,,16,37,,,53,3,B,,,
242,44,Science,,,,,16,24,,,40,2,C,,,
243,45,Science,,,,,15,23,,,38,1,D,,,
244,46,Science,,,,,14,37,,,51,3,B,,,
245,47,Science,,,,,16,30,,,46,2,C,,,
246,48,Science,,,,,15,32,,,47,2,C,,,
247,49,Science,,,,,16,32,,,48,2,C,,,
248,50,Science,,,,,19,30,,,49,2,C,,,
249,51,Science,,,,,16,35,,,51,3,B,,,
250,52,Science,,,,,15,39,,,54,3,B,,,
251,53,Science,,,,,18,36,,,54,3,B,,,
252,54,Science,,,,,14,46,,,60,3.5,A-,,,
253,55,Science,,,,,18,53,,,71,4,A,,,
254,56,Science,,,,,21,48,,,69,3.5,A-,,,
255,57,Science,,,,,22,36,,,58,3,B,,,
256,58,Science,,,,,17,41,,,58,3,B,,,
257,59,Science,,,,,,,,,0,0,F,,,
258,60,Science,,,,,12,51,,,63,3.5,A-,,,
259,61,Science,,,,,16,35,,,51,3,B,,,
260,62,Science,,,,,17,36,,,53,3,B,,,
261,63,Science,,,,,18,43,,,61,3.5,A-,,,
262,64,Science,,,,,15,49,,,64,3.5,A-,,,
263,65,Science,,,,,16,31,,,47,2,C,,,
264,66,Science,,,,,21,34,,,55,3,B,,,
265,1,Islam,,,,,27,63,,,90,5,A+,,,
266,2,Islam,,,,,26,61,,,87,5,A+,,,
267,3,Islam,,,,,25,60,,,85,5,A+,,,
268,4,Islam,,,,,24,61,,,85,5,A+,,,
269,5,Islam,,,,,27,61,,,88,5,A+,,,
270,6,Islam,,,,,23,41,,,64,3.5,A-,,,
271,7,Islam,,,,,19,69,,,88,5,A+,,,
272,8,Islam,,,,,18,68,,,86,5,A+,,,
273,9,Islam,,,,,23,55,,,78,4,A,,,
274,10,Islam,,,,,26,55,,,81,5,A+,,,
275,11,Islam,,,,,27,55,,,82,5,A+,,,
276,12,Islam,,,,,25,56,,,81,5,A+,,,
277,13,Islam,,,,,23,59,,,82,5,A+,,,
278,14,Islam,,,,,25,58,,,83,5,A+,,,
279,15,Islam,,,,,23,55,,,78,4,A,,,
280,16,Islam,,,,,21,55,,,76,4,A,,,
281,17,Islam,,,,,23,61,,,84,5,A+,,,
282,18,Islam,,,,,21,54,,,75,4,A,,,
283,19,Islam,,,,,23,58,,,81,5,A+,,,
284,20,Islam,,,,,23,54,,,77,4,A,,,
285,21,Islam,,,,,24,57,,,81,5,A+,,,
286,22,Islam,,,,,26,54,,,80,5,A+,,,
287,23,Islam,,,,,24,56,,,80,5,A+,,,
288,24,Islam,,,,,20,61,,,81,5,A+,,,
289,25,Islam,,,,,20,45,,,65,3.5,A-,,,
290,26,Islam,,,,,20,55,,,75,4,A,,,
291,27,Islam,,,,,22,59,,,81,5,A+,,,
292,28,Islam,,,,,14,52,,,66,3.5,A-,,,
293,29,Islam,,,,,18,52,,,70,4,A,,,
294,30,Islam,,,,,19,31,,,50,3,B,,,
295,31,Islam,,,,,15,49,,,64,3.5,A-,,,
296,32,Islam,,,,,17,53,,,70,4,A,,,
297,33,Islam,,,,,23,50,,,73,4,A,,,
298,34,Islam,,,,,21,49,,,70,4,A,,,
299,35,Islam,,,,,12,38,,,50,3,B,,,
300,36,Islam,,,,,22,42,,,64,3.5,A-,,,
301,37,Islam,,,,,16,45,,,61,3.5,A-,,,
302,38,Islam,,,,,14,28,,,42,2,C,,,
303,39,Islam,,,,,10,41,,,51,3,B,,,
304,40,Islam,,,,,10,40,,,50,3,B,,,
305,41,Islam,,,,,12,52,,,64,3.5,A-,,,
306,42,Islam,,,,,12,50,,,62,3.5,A-,,,
307,43,Islam,,,,,18,49,,,67,3.5,A-,,,
308,44,Islam,,,,,13,32,,,45,2,C,,,
309,45,Islam,,,,,21,46,,,67,3.5,A-,,,
310,46,Islam,,,,,14,44,,,58,3,B,,,
311,47,Islam,,,,,17,43,,,60,3.5,A-,,,
312,48,Islam,,,,,15,43,,,58,3,B,,,
313,49,Islam,,,,,15,42,,,57,3,B,,,
314,50,Islam,,,,,15,36,,,51,3,B,,,
315,51,Islam,,,,,13,62,,,75,4,A,,,
316,52,Islam,,,,,19,48,,,67,3.5,A-,,,
317,53,Islam,,,,,14,44,,,58,3,B,,,
318,54,Islam,,,,,15,57,,,72,4,A,,,
319,55,Islam,,,,,13,59,,,72,4,A,,,
320,56,Islam,,,,,14,59,,,73,4,A,,,
321,57,Islam,,,,,,,,,,,,,,
322,58,Islam,,,,,12,50,,,62,3.5,A-,,,
323,59,Islam,,,,,,,,,0,0,F,,,
324,60,Islam,,,,,14,47,,,61,3.5,A-,,,
325,61,Islam,,,,,19,36,,,55,3,B,,,
326,62,Islam,,,,,17,46,,,63,3.5,A-,,,
327,63,Islam,,,,,19,48,,,67,3.5,A-,,,
328,64,Islam,,,,,15,45,,,60,3.5,A-,,,
329,65,Islam,,,,,17,51,,,68,3.5,A-,,,
330,66,Islam,,,,,22,41,,,63,3.5,A-,,,
331,24,History,,,,,28,57,,,85,5,A+,,,
332,25,History,,,,,20,46,,,66,3.5,A-,,,
333,26,History,,,,,20,56,,,76,4,A,,,
334,27,History,,,,,21,56,,,77,4,A,,,
335,28,History,,,,,21,49,,,70,4,A,,,
336,29,History,,,,,15,43,,,58,3,B,,,
337,30,History,,,,,10,24,,,34,1,D,,,
338,31,History,,,,,18,50,,,68,3.5,A-,,,
339,32,History,,,,,13,55,,,68,3.5,A-,,,
340,33,History,,,,,20,60,,,80,5,A+,,,
341,34,History,,,,,15,48,,,63,3.5,A-,,,
342,35,History,,,,,17,41,,,58,3,B,,,
343,36,History,,,,,,,,,,,,,,
344,37,History,,,,,10,25,,,35,1,D,,,
345,38,History,,,,,15,49,,,64,3.5,A-,,,
346,39,History,,,,,16,54,,,70,4,A,,,
347,40,History,,,,,13,45,,,58,3,B,,,
348,41,History,,,,,15,55,,,70,4,A,,,
349,42,History,,,,,13,51,,,64,3.5,A-,,,
350,43,History,,,,,12,38,,,50,3,B,,,
351,44,History,,,,,19,46,,,65,3.5,A-,,,
352,45,History,,,,,15,45,,,60,3.5,A-,,,
353,46,History,,,,,17,43,,,60,3.5,A-,,,
354,47,History,,,,,15,45,,,60,3.5,A-,,,
355,48,History,,,,,11,39,,,50,3,B,,,
356,49,History,,,,,13,37,,,50,3,B,,,
357,50,History,,,,,16,48,,,64,3.5,A-,,,
358,51,History,,,,,14,42,,,56,3,B,,,
359,52,History,,,,,16,37,,,53,3,B,,,
360,53,History,,,,,16,51,,,67,3.5,A-,,,
361,54,History,,,,,15,55,,,70,4,A,,,
362,55,History,,,,,12,56,,,68,3.5,A-,,,
363,56,History,,,,,13,48,,,61,3.5,A-,,,
364,57,History,,,,,,,,,,,,,,
365,58,History,,,,,,,,,0,0,F,,,
366,59,History,,,,,,,,,,,,,,
367,60,History,,,,,19,53,,,72,4,A,,,
368,61,History,,,,,22,36,,,58,3,B,,,
369,62,History,,,,,15,35,,,50,3,B,,,
370,63,History,,,,,15,31,,,46,2,C,,,
371,64,History,,,,,16,45,,,61,3.5,A-,,,
372,65,History,,,,,17,40,,,57,3,B,,,
373,66,History,,,,,18,39,,,57,3,B,,,
374,24,Civics,,,,,30,46,,,76,4,A,,,
375,25,Civics,,,,,24,42,,,66,3.5,A-,,,
376,26,Civics,,,,,19,46,,,65,3.5,A-,,,
377,27,Civics,,,,,18,46,,,64,3.5,A-,,,
378,28,Civics,,,,,17,41,,,58,3,B,,,
379,29,Civics,,,,,19,36,,,55,3,B,,,
380,30,Civics,,,,,20,17,,,37,0,F,,,
381,31,Civics,,,,,9,41,,,50,0,F,,,
382,32,Civics,,,,,11,46,,,57,3,B,,,
383,33,Civics,,,,,25,45,,,70,4,A,,,
384,34,Civics,,,,,20,42,,,62,3.5,A-,,,
385,35,Civics,,,,,9,31,,,40,0,F,,,
386,36,Civics,,,,,,,,,,,,,,
387,37,Civics,,,,,12,19,,,31,0,F,,,
388,38,Civics,,,,,13,43,,,56,3,B,,,
389,39,Civics,,,,,12,38,,,50,3,B,,,
390,40,Civics,,,,,11,33,,,44,2,C,,,
391,41,Civics,,,,,13,43,,,56,3,B,,,
392,42,Civics,,,,,21,39,,,60,3.5,A-,,,
393,43,Civics,,,,,12,30,,,42,2,C,,,
394,44,Civics,,,,,15,38,,,53,3,B,,,
395,45,Civics,,,,,13,34,,,47,2,C,,,
396,46,Civics,,,,,18,32,,,50,3,B,,,
397,47,Civics,,,,,17,36,,,53,3,B,,,
398,48,Civics,,,,,17,33,,,50,3,B,,,
399,49,Civics,,,,,16,31,,,47,2,C,,,
400,50,Civics,,,,,13,40,,,53,3,B,,,
401,51,Civics,,,,,14,32,,,46,2,C,,,
402,52,Civics,,,,,13,33,,,46,2,C,,,
403,53,Civics,,,,,13,48,,,61,3.5,A-,,,
404,54,Civics,,,,,14,45,,,59,3,B,,,
405,55,Civics,,,,,15,48,,,63,3.5,A-,,,
406,56,Civics,,,,,16,39,,,55,3,B,,,
407,57,Civics,,,,,17,46,,,63,3.5,A-,,,
408,58,Civics,,,,,16,26,,,42,2,C,,,
409,59,Civics,,,,,,,,,,,,,,
410,60,Civics,,,,,14,32,,,46,2,C,,,
411,61,Civics,,,,,17,24,,,41,2,C,,,
412,62,Civics,,,,,11,40,,,51,3,B,,,
413,63,Civics,,,,,20,36,,,56,3,B,,,
414,64,Civics,,,,,17,36,,,53,3,B,,,
415,65,Civics,,,,,21,31,,,52,3,B,,,
416,66,Civics,,,,,16,44,,,60,3.5,A-,,,
417,24,Geography,,,,,15,18,,,33,3.5,A-,,,
418,25,Geography,,,,,14,23,,,37,4,A,,,
419,26,Geography,,,,,15,27,,,42,5,A+,,,
420,27,Geography,,,,,13,27,,,40,5,A+,,,
421,28,Geography,,,,,13,27,,,40,5,A+,,,
422,29,Geography,,,,,14,26,,,40,5,A+,,,
423,30,Geography,,,,,10,12,,,22,2,C,,,
424,31,Geography,,,,,13,27,,,40,5,A+,,,
425,32,Geography,,,,,14,27,,,41,5,A+,,,
426,33,Geography,,,,,18,27,,,45,5,A+,,,
427,34,Geography,,,,,15,24,,,39,4,A,,,
428,35,Geography,,,,,12,21,,,33,3.5,A-,,,
429,36,Geography,,,,,,,,,,,,,,
430,37,Geography,,,,,14,23,,,37,4,A,,,
431,38,Geography,,,,,12,27,,,39,4,A,,,
432,39,Geography,,,,,14,26,,,40,5,A+,,,
433,40,Geography,,,,,,,,,0,0,F,,,
434,41,Geography,,,,,13,27,,,40,5,A+,,,
435,42,Geography,,,,,11,26,,,37,4,A,,,
436,43,Geography,,,,,15,27,,,42,5,A+,,,
437,44,Geography,,,,,12,13,,,25,3,B,,,
438,45,Geography,,,,,15,26,,,41,5,A+,,,
439,46,Geography,,,,,4,21,,,25,0,F,,,
440,47,Geography,,,,,13,27,,,40,5,A+,,,
441,48,Geography,,,,,8,27,,,35,4,A,,,
442,49,Geography,,,,,9,27,,,36,4,A,,,
443,50,Geography,,,,,9,27,,,36,4,A,,,
444,51,Geography,,,,,14,27,,,41,5,A+,,,
445,52,Geography,,,,,13,25,,,38,4,A,,,
446,53,Geography,,,,,13,26,,,39,4,A,,,
447,54,Geography,,,,,15,27,,,42,5,A+,,,
448,55,Geography,,,,,14,27,,,41,5,A+,,,
449,56,Geography,,,,,10,27,,,37,4,A,,,
450,57,Geography,,,,,,,,,,,,,,
451,58,Geography,,,,,,,,,0,0,F,,,
452,59,Geography,,,,,,,,,0,0,F,,,
453,60,Geography,,,,,12,27,,,39,4,A,,,
454,61,Geography,,,,,13,18,,,31,3.5,A-,,,
455,62,Geography,,,,,10,20,,,30,3.5,A-,,,
456,63,Geography,,,,,15,18,,,33,3.5,A-,,,
457,64,Geography,,,,,14,22,,,36,4,A,,,
458,65,Geography,,,,,14,24,,,38,4,A,,,
459,66,Geography,,,,,12,27,,,39,4,A,,,
460,1,Physics,,,,,21,45,24,,90,5,A+,,,
461,2,Physics,,,,,14,34,23,,71,4,A,,,
462,3,Physics,,,,,15,33,23,,71,4,A,,,
463,4,Physics,,,,,16,34,23,,73,4,A,,,
464,5,Physics,,,,,13,28,23,,64,3.5,A-,,,
465,6,Physics,,,,,17,19,24,,60,0,F,,,
466,7,Physics,,,,,11,35,24,,70,4,A,,,
467,8,Physics,,,,,12,24,24,,60,3.5,A-,,,
468,9,Physics,,,,,15,33,23,,71,4,A,,,
469,10,Physics,,,,,16,32,23,,71,4,A,,,
470,11,Physics,,,,,17,30,23,,70,4,A,,,
471,12,Physics,,,,,15,28,23,,66,3.5,A-,,,
472,13,Physics,,,,,11,32,23,,66,3.5,A-,,,
473,14,Physics,,,,,11,23,23,,57,3,B,,,
474,15,Physics,,,,,11,22,23,,56,0,F,,,
475,16,Physics,,,,,14,24,23,,61,3.5,A-,,,
476,17,Physics,,,,,10,25,23,,58,3,B,,,
477,18,Physics,,,,,16,21,23,,60,0,F,,,
478,19,Physics,,,,,10,26,24,,60,3.5,A-,,,
479,20,Physics,,,,,15,18,24,,57,0,F,,,
480,21,Physics,,,,,12,28,23,,63,3.5,A-,,,
481,22,Physics,,,,,14,26,23,,63,3.5,A-,,,
482,23,Physics,,,,,10,26,24,,60,3.5,A-,,,
483,1,Chemistry,,,,,18,0,,,18,0,F,,,
484,2,Chemistry,,,,,19,22,,,41,5,A+,,,
485,3,Chemistry,,,,,18,27,,,45,5,A+,,,
486,4,Chemistry,,,,,17,12,,,29,3,B,,,
487,5,Chemistry,,,,,,,,,0,0,F,,,
488,6,Chemistry,,,,,,,,,0,0,F,,,
489,7,Chemistry,,,,,15,26,,,41,5,A+,,,
490,8,Chemistry,,,,,17,27,,,44,5,A+,,,
491,9,Chemistry,,,,,20,26,,,46,5,A+,,,
492,10,Chemistry,,,,,15,18,,,33,3.5,A-,,,
493,11,Chemistry,,,,,17,27,,,44,5,A+,,,
